"start","end","cases"
1,7,62
8,14,62
15,21,86
22,28,62
29,35,62
36,42,86
43,49,110
50,56,157
57,63,229
64,70,539
71,77,277
78,84,643
85,91,643
92,98,742
99,105,1319
106,112,2054
113,119,2551
120,126,2551
127,133,3048
134,140,4738
141,147,5116
148,154,6627
155,161,7820
162,168,7402
169,175,8794
176,182,8038
183,189,8217
190,196,8675
197,203,8019
204,210,8337
211,217,8317
218,224,7999
225,231,6905
232,238,5374
239,245,3824
246,252,1418
253,259,1000
260,266,503
267,273,344
274,280,285
281,287,225
288,294,165
295,301,126
302,308,86
309,315,26
316,322,66
323,329,46
330,336,0
337,343,0
344,350,46
351,357,46
358,364,106
365,371,66
